,Player,Season,PA,AB,AVG,HardHit%,Barrel%,EV,K%,Contact%,O-Swing%,Z-Swing%,SwStr%
0,Bryce Harper,2015,654,521,0.33,0.47700000000000004,0.122,91.4,0.2,0.754,0.276,0.725,0.10800000000000001
3,Mike Trout,2015,682,575,0.299,0.486,0.161,92.9,0.23199999999999998,0.8,0.244,0.556,0.075
5,Josh Donaldson,2015,711,620,0.297,0.465,0.114,92.5,0.187,0.76,0.251,0.7070000000000001,0.11
1,Joey Votto,2015,695,545,0.314,0.425,0.095,90.2,0.19399999999999998,0.7909999999999999,0.191,0.62,0.076
2,Paul Goldschmidt,2015,695,567,0.321,0.465,0.12300000000000001,92.0,0.217,0.777,0.22399999999999998,0.616,0.085
17,A.J. Pollock,2015,673,609,0.315,0.391,0.045,88.9,0.132,0.85,0.302,0.64,0.069
26,Buster Posey,2015,623,557,0.318,0.371,0.055,89.0,0.083,0.8809999999999999,0.3,0.718,0.055999999999999994
19,Manny Machado,2015,713,633,0.286,0.413,0.07400000000000001,91.4,0.156,0.843,0.253,0.6559999999999999,0.068
18,Kris Bryant,2015,650,559,0.275,0.447,0.107,89.7,0.306,0.6629999999999999,0.298,0.762,0.165
30,Lorenzo Cain,2015,604,551,0.307,0.381,0.046,90.2,0.162,0.8290000000000001,0.349,0.679,0.084
11,Andrew McCutchen,2015,685,566,0.292,0.441,0.086,90.6,0.19399999999999998,0.759,0.237,0.708,0.105
51,Francisco Cervelli,2015,510,451,0.295,0.35600000000000004,0.039,88.3,0.184,0.821,0.209,0.634,0.07400000000000001
21,Yoenis Cespedes,2015,676,633,0.291,0.449,0.105,92.2,0.209,0.7829999999999999,0.375,0.6509999999999999,0.106
47,Jason Heyward,2015,610,547,0.293,0.34600000000000003,0.027999999999999997,89.2,0.14800000000000002,0.8420000000000001,0.251,0.631,0.065
8,Chris Davis,2015,670,573,0.262,0.462,0.168,92.1,0.31,0.67,0.301,0.722,0.156
14,Matt Carpenter,2015,665,574,0.272,0.361,0.091,88.9,0.22699999999999998,0.802,0.225,0.6,0.077
33,Curtis Granderson,2015,682,580,0.259,0.4,0.076,89.4,0.221,0.816,0.19899999999999998,0.608,0.069
9,Jose Bautista,2015,666,543,0.25,0.45799999999999996,0.121,92.0,0.159,0.809,0.222,0.619,0.075
10,Anthony Rizzo,2015,701,586,0.278,0.385,0.07400000000000001,88.7,0.15,0.831,0.327,0.679,0.077
15,J.D. Martinez,2015,657,596,0.282,0.48200000000000004,0.159,91.3,0.271,0.718,0.355,0.757,0.149
6,Nelson Cruz,2015,655,590,0.302,0.475,0.131,92.6,0.25,0.715,0.332,0.708,0.13699999999999998
38,Mookie Betts,2015,654,597,0.291,0.37200000000000005,0.048,90.4,0.125,0.866,0.253,0.557,0.054000000000000006
59,Dee Strange-Gordon,2015,653,615,0.333,0.172,0.009000000000000001,84.4,0.139,0.88,0.375,0.65,0.061
4,Miguel Cabrera,2015,511,429,0.338,0.527,0.095,93.8,0.16,0.787,0.295,0.705,0.096
55,Xander Bogaerts,2015,654,613,0.32,0.33799999999999997,0.021,88.1,0.154,0.815,0.35600000000000004,0.64,0.091
7,Edwin Encarnacion,2015,624,528,0.277,0.439,0.086,90.0,0.157,0.784,0.257,0.669,0.09300000000000001
16,Nolan Arenado,2015,665,616,0.287,0.395,0.079,90.6,0.165,0.8029999999999999,0.385,0.742,0.105
34,Jason Kipnis,2015,641,565,0.303,0.382,0.027999999999999997,89.3,0.16699999999999998,0.8390000000000001,0.267,0.624,0.069
